Player,No.,Age,Pos,G,GS,Wt,Ht,College/Univ,BirthDate,Yrs,AV,Drafted (tm/rnd/yr),Player-additional
Doug Kramer,68.0,26.0,OL,16,0,300,2-Jun,Illinois,6/4/1998,1,1.0,Chicago Bears / 6th / 207th pick / 2022,KramDo00
Marcedes Lewis,84.0,40.0,TE,17,4,267,6-Jun,UCLA,5/19/1984,18,0.0,Jacksonville Jaguars / 1st / 28th pick / 2006,LewiMa00
Jacob Martin,55.0,29.0,DL,11,0,242,2-Jun,Temple,12/11/1995,6,1.0,Seattle Seahawks / 6th / 186th pick / 2018,MartJa02
Jordan McFadden,NaN,25.0,OL,0,0,303,2-Jun,Clemson,11/16/1999,1,NaN,Los Angeles Chargers / 5th / 156th pick / 2023,McFaJo00
D.J. Moore,2.0,27.0,WR,17,17,210,11-May,Maryland,4/14/1997,6,9.0,Carolina Panthers / 1st / 24th pick / 2018,MoorD.00
Tarvarius Moore,30.0,28.0,S,11,0,200,2-Jun,Southern Miss,8/16/1996,6,1.0,San Francisco 49ers / 3rd / 95th pick / 2018,MoorTa00
Rome Odunze,15.0,22.0,WR,17,12,215,3-Jun,Washington,6/3/2002,Rook,6.0,Chicago Bears / 1st / 9th pick / 2024,OdunRo00
Amen Ogbongbemiga,45.0,26.0,LB,17,0,231,Jun-00,Oklahoma St.,9/4/1998,3,1.0,NaN,OgboAm00
Jonathan Owens,36.0,29.0,S,17,5,210,11-May,Missouri Western St.,7/22/1995,5,3.0,NaN,OwenJo01
Zacch Pickens,96.0,24.0,DL,9,3,300,4-Jun,South Carolina,3/6/2000,1,2.0,Chicago Bears / 3rd / 64th pick / 2023,PickZa00
Matt Pryor,79.0,30.0,OL,17,15,332,7-Jun,TCU,12/16/1994,5,6.0,Philadelphia Eagles / 6th / 206th pick / 2018,PryoMa00
Dominique Robinson,90.0,26.0,DL,6,1,253,5-Jun,Miami (OH),7/2/1998,2,1.0,Chicago Bears / 5th / 174th pick / 2022,RobiDo00
Jack Sanborn,57.0,24.0,LB,17,3,234,2-Jun,Wisconsin,7/29/2000,2,3.0,NaN,SanbJa00
Cairo Santos,8.0,33.0,K,17,0,175,8-May,Tulane,11/12/1991,10,4.0,NaN,SantCa01
Tyler Scott,10.0,23.0,WR,11,0,185,11-May,Cincinnati,10/12/2001,1,0.0,Chicago Bears / 4th / 133rd pick / 2023,ScotTy00
Noah Sewell,44.0,22.0,LB,9,0,253,2-Jun,Oregon,4/26/2002,1,1.0,Chicago Bears / 5th / 148th pick / 2023,SeweNo00
Coleman Shelton,65.0,29.0,OL,17,17,285,5-Jun,Washington,7/28/1995,5,6.0,NaN,ShelCo00
Terell Smith,32.0,25.0,DB,14,2,207,Jun-00,Minnesota,7/27/1999,1,2.0,Chicago Bears / 5th / 165th pick / 2023,SmitTe05
Ameer Speed,38.0,24.0,CB,2,0,215,3-Jun,GeorgiaMichigan St.,10/13/2000,1,0.0,New England Patriots / 6th / 214th pick / 2023,SpeeAm00
Tyrique Stevenson,29.0,24.0,DB,16,14,204,Jun-00,GeorgiaMiami (FL),5/26/2000,1,6.0,Chicago Bears / 2nd / 56th pick / 2023,StevTy01
Montez Sweat,98.0,28.0,DL,16,16,262,6-Jun,Michigan St.Copiah-Lincoln CCMississippi St.,9/4/1996,5,8.0,Washington Redskins / 1st / 26th pick / 2019,SweaMo00
D'Andre Swift,4.0,25.0,RB,17,17,215,9-May,Georgia,1/14/1999,4,8.0,Detroit Lions / 2nd / 35th pick / 2020,SwifDA00
Darrell Taylor,52.0,27.0,DL,16,0,267,4-Jun,Tennessee,3/24/1997,3,2.0,Seattle Seahawks / 2nd / 48th pick / 2020,TaylDa00
Tory Taylor,19.0,27.0,P,17,0,223,4-Jun,Iowa,7/10/1997,Rook,4.0,Chicago Bears / 4th / 122nd pick / 2024,TaylTo01
DeMarcus Walker,95.0,30.0,DL,17,17,280,4-Jun,Florida St.,9/30/1994,7,8.0,Denver Broncos / 2nd / 51st pick / 2017,WalkDe03
Caleb Williams,18.0,23.0,QB,17,17,215,1-Jun,OklahomaUSC,11/18/2001,Rook,12.0,Chicago Bears / 1st / 1st pick / 2024,WillCa03
Chris Williams,91.0,26.0,DT,17,1,302,3-Jun,Wagner,6/16/1998,3,2.0,NaN,WillCh08
Darnell Wright,58.0,23.0,OL,16,16,333,6-Jun,Tennessee,8/10/2001,1,6.0,Chicago Bears / 1st / 10th pick / 2023,WrigDa00
Tommy Sweeney (PRA_),87.0,29.0,TE,0,0,255,5-Jun,Boston Col.,7/1/1995,5,NaN,Buffalo Bills / 7th / 228th pick / 2019,SweeTo00
Ryan Bates (IR),71.0,27.0,OL,3,2,302,4-Jun,Penn St.,2/14/1997,5,1.0,NaN,BateRy02
Andrew Billings (IR),97.0,29.0,DL,8,8,311,1-Jun,Baylor,3/6/1995,7,4.0,Cincinnati Bengals / 4th / 122nd pick / 2016,BillAn00
Jaquan Brisker (IR),9.0,25.0,DB,5,5,200,1-Jun,LackawannaPenn St.,4/20/1999,2,2.0,Chicago Bears / 2nd / 48th pick / 2022,BrisJa01
Stephen Carlson (IR),88.0,28.0,TE,0,0,240,4-Jun,Princeton,12/12/1996,5,NaN,NaN,CarlSt00
DeAndre Carter (IR),11.0,31.0,WR,13,0,190,8-May,Sacramento St.,4/10/1993,6,1.0,NaN,CartDe02
Braxton Jones (IR),70.0,25.0,OL,12,12,310,5-Jun,Southern Utah,3/27/1999,2,4.0,Chicago Bears / 5th / 168th pick / 2022,JoneBr08
Jaylon Jones (IR),21.0,27.0,DB,8,1,190,11-May,Mississippi,10/14/1997,2,1.0,NaN,JoneJa12
Bill Murray (IR),60.0,27.0,OL,3,0,307,4-Jun,William & Mary,7/3/1997,2,0.0,NaN,MurrBi00
Patrick Scales (IR),48.0,36.0,LS,0,0,226,3-Jun,Utah St.,2/11/1988,10,NaN,NaN,ScalPa00
Nsimba Webster (IR),83.0,28.0,WR,0,0,180,10-May,Eastern Washington,1/27/1996,5,NaN,NaN,WebsNs00
Ian Wheeler (IR),33.0,23.0,RB,0,0,205,11-May,Howard,9/15/2001,Rook,NaN,NaN,WheeIa00
Maurice Alexander (FRES),NaN,27.0,WR,0,0,174,11-May,Florida International,1/10/1997,2,NaN,NaN,AlexMa02
Theo Benedet (FRES),62.0,23.0,G,0,0,305,7-Jun,British Columbia (CAN),10/12/2001,Rook,NaN,NaN,BeneTh00
Alex Cook (FRES),NaN,25.0,S,0,0,196,1-Jun,Washington,5/21/1999,1,NaN,NaN,CookAl00
Chris Glaser (FRES),63.0,25.0,OL,3,0,306,4-Jun,Virginia,10/1/1999,1,0.0,NaN,GlasCh01
John Jackson (FRES),82.0,25.0,WR,0,0,215,1-Jun,USC,8/23/1999,Rook,NaN,NaN,JackJo04
Carl Jones (FRES),50.0,23.0,LB,1,0,230,2-Jun,UCLA,8/8/2001,Rook,0.0,NaN,JoneCa05
Jamree Kromah (FRES),59.0,24.0,DL,0,0,275,4-Jun,James Madison,6/14/2000,Rook,NaN,NaN,KromJa00
Joshua Miles (FRES),NaN,28.0,T,0,0,325,5-Jun,Morgan St.,1/4/1996,5,NaN,Arizona Cardinals / 7th / 248th pick / 2019,MileJo00
Jordan Murray (FRES),NaN,27.0,TE,0,0,240,5-Jun,North Texas,5/17/1997,Rook,NaN,NaN,MurrJo00
Austin Reed (FRES),16.0,24.0,QB,0,0,220,1-Jun,Southern IllinoisWest FloridaWestern Kentucky,2/22/2000,Rook,NaN,NaN,ReedAu00
Ricky Stromberg (FRES),67.0,24.0,C,0,0,313,4-Jun,Arkansas,11/10/2000,1,NaN,Washington Commanders / 3rd / 97th pick / 2023,StroRi01
Samori Toure (FRES),83.0,26.0,WR,0,0,191,1-Jun,MontanaNebraska,3/24/1998,2,NaN,Green Bay Packers / 7th / 258th pick / 2022,TourSa00
Joel Wilson (FRES),86.0,24.0,TE,0,0,242,4-Jun,Central Michigan,6/21/2000,Rook,NaN,NaN,WilsJo02
Jordan Addison,3.0,22.0,WR,15,15,175,11-May,PittsburghUSC,1/27/2002,1,8.0,Minnesota Vikings / 1st / 23rd pick / 2023,AddiJo00
Cam Akers,NaN,25.0,RB,12,0,217,10-May,Florida St.,6/22/1999,4,2.0,Los Angeles Rams / 2nd / 52nd pick / 2020,AkerCa00
Brian Asamoah,2.0,24.0,LB,17,0,226,Jun-00,Oklahoma,3/29/2000,2,1.0,Minnesota Vikings / 3rd / 66th pick / 2022,AsamBr00
Garrett Bradbury,56.0,29.0,C,17,17,300,3-Jun,North Carolina St.,6/20/1995,5,7.0,Minnesota Vikings / 1st / 18th pick / 2019,BradGa00
Blake Brandel,64.0,27.0,G,17,17,315,7-Jun,Oregon St.,1/23/1997,3,7.0,Minnesota Vikings / 6th / 203rd pick / 2020,BranBl00
Jonathan Bullard,90.0,31.0,DL,17,17,290,3-Jun,Florida,10/22/1993,8,8.0,Chicago Bears / 3rd / 72nd pick / 2016,BullJo00
Camryn Bynum,24.0,26.0,S,17,17,200,Jun-00,California,7/19/1998,3,7.0,Minnesota Vikings / 4th / 125th pick / 2021,BynuCa00
Blake Cashman,51.0,28.0,LB,14,14,235,1-Jun,Minnesota,5/10/1996,5,7.0,New York Jets / 5th / 157th pick / 2019,CashBl00
Ty Chandler,32.0,26.0,RB,17,0,204,11-May,TennesseeNorth Carolina,5/12/1998,2,2.0,Minnesota Vikings / 5th / 169th pick / 2022,ChanTy01
Sam Darnold,14.0,27.0,QB,17,17,225,3-Jun,USC,6/5/1997,6,14.0,New York Jets / 1st / 3rd pick / 2018,DarnSa00
Andrew DePaola,42.0,37.0,LS,13,0,229,1-Jun,Rutgers,7/28/1987,10,2.0,NaN,DePaAn00
Dan Feeney,69.0,30.0,C,8,0,305,4-Jun,Indiana,5/29/1994,7,1.0,Los Angeles Chargers / 3rd / 71st pick / 2017,FeenDa00
Stephon Gilmore,2.0,34.0,CB,15,15,190,Jun-00,South Carolina,9/19/1990,12,6.0,Buffalo Bills / 1st / 10th pick / 2012,GilmSt00
Jonathan Greenard,58.0,27.0,OLB,17,17,259,3-Jun,LouisvilleFlorida,5/25/1997,4,12.0,Houston Texans / 3rd / 90th pick / 2020,GreeJo04
Shaquill Griffin,1.0,29.0,CB,17,3,198,Jun-00,Central Florida,7/20/1995,7,2.0,Seattle Seahawks / 3rd / 90th pick / 2017,GrifSh00
Kamu Grugier-Hill,54.0,30.0,LB,17,1,230,2-Jun,Eastern Illinois,5/16/1994,8,2.0,New England Patriots / 6th / 208th pick / 2016,GrugKa00
C.J. Ham,30.0,31.0,FB,17,3,250,11-May,Augustana (SD),7/22/1993,7,0.0,NaN,HamxC.00
T.J. Hockenson,87.0,27.0,TE,10,9,248,5-Jun,Iowa,7/3/1997,5,4.0,Detroit Lions / 1st / 8th pick / 2019,HockTJ00
Ed Ingram,67.0,25.0,G,16,9,307,3-Jun,LSU,2/11/1999,2,4.0,Minnesota Vikings / 2nd / 59th pick / 2022,IngrEd00
Theo Jackson,25.0,26.0,S,17,0,198,1-Jun,Tennessee,10/2/1998,2,1.0,Tennessee Titans / 6th / 204th pick / 2022,JackTh00
Justin Jefferson,18.0,25.0,WR,17,17,195,1-Jun,LSU,6/16/1999,4,14.0,Minnesota Vikings / 1st / 22nd pick / 2020,JeffJu00
Aaron Jones,33.0,30.0,RB,17,17,208,9-May,Texas-El Paso,12/2/1994,7,11.0,Green Bay Packers / 5th / 182nd pick / 2017,JoneAa00
Daniel Jones,13.0,27.0,QB,0,0,230,5-Jun,Duke,5/27/1997,5,NaN,New York Giants / 1st / 6th pick / 2019,JoneDa05
Patrick Jones II,91.0,26.0,OLB,15,1,264,4-Jun,Pittsburgh,9/29/1998,3,2.0,Minnesota Vikings / 3rd / 90th pick / 2021,JonePa00
Michael Jurgens,65.0,24.0,G,3,0,311,5-Jun,Wake Forest,1/1/2000,Rook,0.0,Minnesota Vikings / 7th / 230th pick / 2024,JurgMi02
Dwight McGlothern,29.0,22.0,CB,5,0,185,2-Jun,LSUArkansas,2/6/2002,Rook,0.0,NaN,McGlDw00
Josh Metellus,44.0,26.0,S,17,10,207,11-May,Michigan,1/21/1998,4,4.0,Minnesota Vikings / 6th / 205th pick / 2020,MeteJo00
Fabian Moreau,23.0,30.0,CB,7,0,204,Jun-00,UCLA,4/9/1994,7,0.0,Washington Redskins / 3rd / 81st pick / 2017,MoreFa00
Nick Mullens,12.0,29.0,QB,4,0,210,Jun-00,Southern Miss,3/21/1995,6,0.0,NaN,MullNi00
Johnny Mundt,86.0,30.0,TE,17,3,233,4-Jun,Oregon,11/23/1994,7,1.0,NaN,MundJo00
Byron Murphy,7.0,26.0,CB,17,17,190,11-May,Washington,1/18/1998,5,11.0,Arizona Cardinals / 2nd / 33rd pick / 2019,MurpBy00
Jalen Nailor,83.0,25.0,WR,17,7,190,Jun-00,Michigan St.,3/2/1999,2,4.0,Minnesota Vikings / 6th / 191st pick / 2022,NailJa00
Brian O'Neill,75.0,29.0,T,17,17,310,7-Jun,Pittsburgh,9/15/1995,6,12.0,Minnesota Vikings / 2nd / 62nd pick / 2018,ONeiBr00
Josh Oliver,84.0,27.0,TE,15,12,259,5-Jun,San Jose St.,3/21/1997,5,2.0,Jacksonville Jaguars / 3rd / 69th pick / 2019,OlivJo00
Ivan Pace,0.0,24.0,LB,11,10,231,10-May,Miami (OH)Cincinnati,12/16/2000,1,6.0,NaN,PaceIv00
Harrison Phillips,97.0,28.0,DL,17,17,307,3-Jun,Stanford,1/25/1996,6,8.0,Buffalo Bills / 3rd / 96th pick / 2018,PhilHa00
Brandon Powell,4.0,29.0,WR,17,1,181,8-May,Florida,9/12/1995,6,1.0,NaN,PoweBr00
David Quessenberry,76.0,34.0,T,17,0,310,5-Jun,San Jose St.,8/24/1990,7,1.0,Houston Texans / 6th / 176th pick / 2013,QuesDa00
Jalen Redmond,61.0,25.0,DL,13,2,291,2-Jun,Oklahoma,3/12/1999,1,2.0,NaN,RedmJa01
Will Reichard,16.0,23.0,K,13,0,187,1-Jun,Alabama,1/9/2001,Rook,2.0,Minnesota Vikings / 6th / 203rd pick / 2024,ReicWi00
Bo Richter,98.0,24.0,OLB,14,0,248,1-Jun,Air Force,8/13/2000,Rook,1.0,NaN,RichBo01
Dalton Risner,66.0,29.0,G,10,8,312,5-Jun,Kansas St.,7/13/1995,5,4.0,Denver Broncos / 2nd / 41st pick / 2019,RisnDa00
Cam Robinson,NaN,29.0,OT,10,10,335,6-Jun,Alabama,10/9/1995,7,5.0,Jacksonville Jaguars / 2nd / 34th pick / 2017,RobiCa00
Levi Drake Rodriguez,50.0,24.0,DL,2,0,306,2-Jun,Southwestern Assemblies of GodTexas A&M-Commerce,8/4/2000,Rook,0.0,Minnesota Vikings / 7th / 232nd pick / 2024,RodrLe00
Walter Rouse,78.0,23.0,T,1,0,313,6-Jun,StanfordOklahoma,3/9/2001,Rook,0.0,Minnesota Vikings / 6th / 177th pick / 2024,RousWa00
Trent Sherfield,11.0,28.0,WR,17,1,206,1-Jun,Vanderbilt,2/25/1996,6,1.0,NaN,SherTr00
Harrison Smith,22.0,35.0,S,16,16,211,2-Jun,Notre Dame,2/2/1989,12,7.0,Minnesota Vikings / 1st / 29th pick / 2012,SmitHa00
Jerry Tillery,99.0,28.0,DL,17,11,295,6-Jun,Notre Dame,10/8/1996,5,6.0,Los Angeles Chargers / 1st / 28th pick / 2019,TillJe00
Dallas Turner,15.0,21.0,OLB,16,0,247,3-Jun,Alabama,2/2/2003,Rook,2.0,Minnesota Vikings / 1st / 17th pick / 2024,TurnDa01
Andrew Van Ginkel,43.0,29.0,OLB,17,17,242,4-Jun,Wisconsin,7/1/1995,5,16.0,Miami Dolphins / 5th / 151st pick / 2019,VanGAn00
Jay Ward,20.0,24.0,S,16,0,188,1-Jun,LSU,7/13/2000,1,1.0,Minnesota Vikings / 4th / 134th pick / 2023,WardJa00
Jihad Ward,52.0,30.0,OLB,17,2,285,5-Jun,Illinois,5/11/1994,8,2.0,Oakland Raiders / 2nd / 44th pick / 2016,WardJi02
Ryan Wright,17.0,24.0,P,17,0,245,3-Jun,Tulane,6/1/2000,2,2.0,NaN,WrigRy00
Taki Taimani (IRD),94.0,25.0,DL,7,0,309,1-Jun,WashingtonOregon,10/6/1999,Rook,1.0,NaN,TaimTa00
Mekhi Blackmon (IR),5.0,25.0,CB,0,0,178,11-May,San MateoColoradoUSC,3/18/1999,1,NaN,Minnesota Vikings / 3rd / 102nd pick / 2023,BlacMe00
Christian Darrisaw (IR),71.0,25.0,T,7,7,315,5-Jun,Virginia Tech,6/2/1999,3,4.0,Minnesota Vikings / 1st / 23rd pick / 2021,DarrCh00
Jeremy Flax (IR),63.0,25.0,OL,0,0,343,5-Jun,Kentucky,8/25/1999,Rook,NaN,NaN,FlaxJe00
J.J. McCarthy (IR),9.0,21.0,QB,0,0,219,3-Jun,Michigan,1/20/2003,Rook,NaN,Minnesota Vikings / 1st / 10th pick / 2024,McCaJJ00
NaJee Thompson (IR),36.0,24.0,CB,0,0,205,11-May,Georgia Southern,7/7/2000,1,NaN,NaN,ThomNa00
Travis Bell (FRES),NaN,26.0,DL,0,0,305,1-Jun,Kennesaw St.,10/27/1998,1,NaN,Chicago Bears / 7th / 218th pick / 2023,BellTr01
Henry Byrd (FRES),NaN,25.0,OG,0,0,310,5-Jun,Princeton,7/1/1999,Rook,NaN,NaN,ByrdHe00
Kahlef Hailassie (FRES),NaN,24.0,CB,0,0,195,1-Jun,OregonIndependence (KS)Western Kentucky,11/9/2000,1,NaN,NaN,HailKa00
Jonathan Harris (FRES),NaN,28.0,DL,0,0,295,5-Jun,Lindenwood,8/4/1996,5,NaN,NaN,HarrJo05
Lucky Jackson (FRES),NaN,27.0,WR,0,0,186,Jun-00,Western Kentucky,7/17/1997,1,NaN,NaN,JackLu00
Marcellus Johnson (FRES),NaN,24.0,T,0,0,307,4-Jun,Missouri,4/1/2000,Rook,NaN,NaN,JohnMa09
Jeshaun Jones (FRES),82.0,25.0,WR,0,0,188,1-Jun,Maryland,12/22/1999,Rook,NaN,NaN,JoneJe01
Gabriel Murphy (FRES),NaN,24.0,OLB,2,0,247,2-Jun,North TexasUCLA,10/13/2000,Rook,0.0,NaN,MurpGa00
Trevor Reid (FRES),NaN,24.0,T,0,0,307,5-Jun,Georgia MilitaryLouisville,4/28/2000,Rook,NaN,NaN,ReidTr00
Brett Rypien (FRES),19.0,28.0,QB,0,0,202,2-Jun,Boise St.,7/9/1996,4,NaN,NaN,RypiBr00
Zavier Scott (FRES),36.0,25.0,RB,0,0,219,1-Jun,Maine,7/17/1999,Rook,NaN,NaN,ScotZa00
Reddy Steward (FRES),NaN,23.0,CB,0,0,178,11-May,Troy,5/4/2001,Rook,NaN,NaN,StewRe00
Ambry Thomas (FRES),38.0,25.0,CB,0,0,190,Jun-00,Michigan,9/9/1999,3,NaN,San Francisco 49ers / 3rd / 102nd pick / 2021,ThomAm00
Thayer Thomas (FRES),NaN,26.0,WR,0,0,195,Jun-00,North Carolina State,5/20/1998,Rook,NaN,NaN,ThomTh01
Max Tooley (FRES),45.0,26.0,LB,0,0,225,2-Jun,BYU,3/5/1998,Rook,NaN,NaN,ToolMa00
Leroy Watson (FRES),NaN,26.0,T,0,0,310,5-Jun,Hutchinson (KS)Texas-San Antonio,6/10/1998,1,NaN,NaN,WatsLe00
Nahshon Wright (FRES),25.0,26.0,CB,1,0,200,4-Jun,LaneyOregon St.,9/23/1998,3,0.0,Dallas Cowboys / 3rd / 99th pick / 2021,WrigNa00
Myles Adams,NaN,26.0,DL,4,0,290,2-Jun,Rice,3/9/1998,3,0.0,NaN,AdamMy00
Mitchell Agude,50.0,25.0,LB,4,0,245,4-Jun,Riverside CCUCLAMiami (FL),3/10/1999,1,0.0,NaN,AgudMi01
Alex Anzalone,34.0,30.0,LB,10,10,238,3-Jun,Florida,9/22/1994,7,5.0,New Orleans Saints / 3rd / 76th pick / 2017,AnzaAl00
Terrion Arnold,0.0,21.0,CB,16,15,199,Jun-00,Alabama,3/22/2003,Rook,5.0,Detroit Lions / 1st / 24th pick / 2024,ArnoTe00
Kayode Awosika,74.0,26.0,G,11,2,315,3-Jun,Buffalo,10/27/1998,3,2.0,NaN,AwosKa00
Jake Bates,39.0,25.0,K,17,0,202,10-May,Texas St.Arkansas,3/3/1999,1,4.0,NaN,BateJa00
Brian Branch,32.0,23.0,DB,16,16,203,Jun-00,Alabama,10/22/2001,1,8.0,Detroit Lions / 2nd / 45th pick / 2023,BranBr00
Teddy Bridgewater,12.0,32.0,QB,0,0,212,2-Jun,Louisville,11/10/1992,10,NaN,Minnesota Vikings / 1st / 32nd pick / 2014,BridTe00
Jack Campbell,46.0,24.0,LB,17,17,243,5-Jun,Iowa,8/22/2000,1,8.0,Detroit Lions / 1st / 18th pick / 2023,CampJa04
Taylor Decker,68.0,31.0,T,14,14,318,7-Jun,Ohio St.,8/23/1993,8,10.0,Detroit Lions / 1st / 16th pick / 2016,DeckTa00
Jack Fox,3.0,28.0,P,17,0,218,2-Jun,Rice,9/1/1996,4,3.0,NaN,FoxxJa01
Jahmyr Gibbs,26.0,22.0,RB,17,4,200,9-May,Georgia TechAlabama,3/20/2002,1,17.0,Detroit Lions / 1st / 12th pick / 2023,GibbJa01
Graham Glasgow,60.0,32.0,OL,16,16,315,6-Jun,Michigan,7/19/1992,8,8.0,Detroit Lions / 3rd / 95th pick / 2016,GlasGr00
Jared Goff,16.0,30.0,QB,17,17,217,4-Jun,California,10/14/1994,8,18.0,Los Angeles Rams / 1st / 1st pick / 2016,GoffJa00
Hogan Hatten,49.0,24.0,LS,17,0,239,2-Jun,Idaho,8/6/2000,Rook,1.0,NaN,HattHo00
Hendon Hooker,2.0,26.0,QB,3,0,220,3-Jun,Virginia TechTennessee,1/13/1998,1,0.0,Detroit Lions / 3rd / 68th pick / 2023,HookHe00
Kerby Joseph,31.0,24.0,S,17,17,203,1-Jun,Illinois,11/14/2000,2,14.0,Detroit Lions / 3rd / 97th pick / 2022,JoseKe03
Sam LaPorta,87.0,23.0,TE,16,16,245,3-Jun,Iowa,1/12/2001,1,8.0,Detroit Lions / 2nd / 34th pick / 2023,LaPoSa01
Christian Mahogany,73.0,24.0,OL,7,1,319,3-Jun,Boston Col.,10/11/2000,Rook,1.0,Detroit Lions / 6th / 210th pick / 2024,MahoCh00
Giovanni Manu,59.0,23.0,OL,0,0,354,7-Jun,British Columbia,1/26/2001,Rook,NaN,Detroit Lions / 4th / 126th pick / 2024,ManuGi00
Brodric Martin,96.0,25.0,DL,2,1,330,5-Jun,North AlabamaWestern Kentucky,5/24/1999,1,1.0,Detroit Lions / 3rd / 96th pick / 2023,MartBr00
Ifeatu Melifonwu,6.0,25.0,S,3,3,210,3-Jun,Syracuse,5/2/1999,3,1.0,Detroit Lions / 3rd / 101st pick / 2021,MeliIf00
David Montgomery,5.0,27.0,RB,14,14,224,11-May,Iowa St.,6/7/1997,5,10.0,Chicago Bears / 3rd / 73rd pick / 2019,MontDa01
Al-Quadin Muhammad,69.0,29.0,DL,9,2,250,3-Jun,Miami (FL),3/28/1995,7,2.0,New Orleans Saints / 6th / 196th pick / 2017,MuhaAl00
Ben Niemann,51.0,29.0,LB,17,4,235,2-Jun,Iowa,7/27/1995,6,3.0,NaN,NiemBe00
Michael Niese,62.0,26.0,OL,17,0,295,5-Jun,DaytonTemple,1/13/1998,1,1.0,NaN,NiesMi00
Morice Norris,40.0,24.0,S,2,0,198,11-May,Fresno St.,9/27/2000,Rook,0.0,NaN,NorrMo01
Trevor Nowaske,53.0,26.0,LB,14,2,235,3-Jun,Saginaw Valley St.,11/7/1998,1,2.0,NaN,NowaTr00
